Plot,DBH_11,DC_2011,Status_2011,DBH_17,Status_2017,DC_2017,Treatment,Treatment_Title,count,DDD,Growing.Space
un2,30.5,,1,34.5,1,,un,Control,1,0,62.302
un2,5.3,,1,4.9,2,2,un,Control,1,1,1.059
un2,10,,1,10.5,2,1,un,Control,1,1,19.618
un2,6.2,,1,9,1,,un,Control,1,0,68.165
un2,14.8,,1,19,1,,un,Control,1,0,0.302
un2,23.9,,1,24.9,2,2,un,Control,1,1,4.399
un2,12.9,,1,14.3,2,2,un,Control,1,1,0.891
un2,13.5,,1,16,1,,un,Control,1,0,8.021
un2,8.9,,1,11.2,1,,un,Control,1,0,1.312
un2,34.9,,1,36.5,2,2,un,Control,1,1,15.461
un2,21.1,,1,25,1,,un,Control,1,0,18.745
un2,33.8,,1,37.8,1,,un,Control,1,0,3.287
un2,5.2,,1,5.1,2,3,un,Control,1,1,4.247
un2,12.9,,1,14,1,,un,Control,1,0,11.627
un2,8,,1,9.1,1,,un,Control,1,0,17.322
un2,43,,1,46.5,1,,un,Control,1,0,8.059
un2,15.7,,1,16.2,2,2,un,Control,1,1,18.761
un2,30.8,,1,33.6,1,,un,Control,1,0,7.306
un2,39.9,,1,43.4,1,,un,Control,1,0,1.557
uc2,10,,1,16,1,,uc,Understory Thin Only,1,0,56.123
uc1,7.7,,1,7.6,1,,uc,Understory Thin Only,1,0,2.426
uc1,6.4,,1,5.2,1,,uc,Understory Thin Only,1,0,0.824
us1,36.4,,1,41,2,2,us,Overstory Thin Only,1,1,153.456
uc2,25.1,,1,31.3,1,,uc,Understory Thin Only,1,0,90.855
us1,9,,1,8.4,2,2,us,Overstory Thin Only,1,1,12.723
us1,29.5,,1,37.9,1,,us,Overstory Thin Only,1,0,55.274
uc1,9.7,,1,10.8,1,,uc,Understory Thin Only,1,0,2.546
uc2,20.5,,1,26.2,1,,uc,Understory Thin Only,1,0,94.019
uc1,5.5,,1,6.7,2,1,uc,Understory Thin Only,1,1,22.236
us1,19.5,,1,24.5,1,,us,Overstory Thin Only,1,0,24.499
uc2,20.8,,1,25.5,1,,uc,Understory Thin Only,1,0,17.192
uc2,32,,1,39.1,1,,uc,Understory Thin Only,1,0,98.18
uc2,14,,1,20.1,1,,uc,Understory Thin Only,1,0,86.828
us1,25.8,,1,27.6,1,,us,Overstory Thin Only,1,0,10.255
uc2,5.7,,1,5.8,2,1,uc,Understory Thin Only,1,1,12.096
uc1,161.1,,1,156.5,1,,uc,Understory Thin Only,1,0,124.729
uc1,14.8,,1,17.3,1,,uc,Understory Thin Only,1,0,4.966
uc2,19.8,,1,23,1,,uc,Understory Thin Only,1,0,32.488
uc1,8.7,,1,9.7,1,,uc,Understory Thin Only,1,0,7.844
us1,11.8,,1,14.3,1,,us,Overstory Thin Only,1,0,5.785
us1,6.2,,1,7,2,1,us,Overstory Thin Only,1,1,19.238
uc1,95.8,,1,98.8,1,,uc,Understory Thin Only,1,0,66.518
uc1,5.2,,1,5.6,1,,uc,Understory Thin Only,1,0,9.175
uc2,5.9,,1,6.9,1,,uc,Understory Thin Only,1,0,6.629
uc2,14.8,,1,18.1,1,,uc,Understory Thin Only,1,0,4.562
us1,15.6,,1,20.4,1,,us,Overstory Thin Only,1,0,50.629
uc2,28.4,,1,30.6,2,2,uc,Understory Thin Only,1,1,23.809
us1,24.3,,1,29.6,1,,us,Overstory Thin Only,1,0,102.991
uc1,11.8,,1,13.8,2,1,uc,Understory Thin Only,1,1,32.486
uc2,7.7,,1,11.2,1,,uc,Understory Thin Only,1,0,49.511
us1,27.2,,1,31.3,1,,us,Overstory Thin Only,1,0,19.643
us1,10.8,,1,12.8,2,1,us,Overstory Thin Only,1,1,38.655
uc1,20.9,,1,23.3,1,,uc,Understory Thin Only,1,0,3.341
us1,24.9,,1,31,1,,us,Overstory Thin Only,1,0,73.559
uc2,20.8,,1,28.2,1,,uc,Understory Thin Only,1,0,30.538
uc2,25.8,,1,23.5,2,1,uc,Understory Thin Only,1,1,83.231
uc1,15.8,,1,19.4,1,,uc,Understory Thin Only,1,0,2.402
uc2,14.8,,1,20.6,1,,uc,Understory Thin Only,1,0,36.499
uc1,12.6,,1,14.9,1,,uc,Understory Thin Only,1,0,15.748
uc2,12.4,,1,15.2,1,,uc,Understory Thin Only,1,0,4.312
uc2,6.5,,1,9.4,1,,uc,Understory Thin Only,1,0,46.341
uc1,158.7,,1,156.8,1,,uc,Understory Thin Only,1,0,39.379
us1,15.5,,1,14.8,2,2,us,Overstory Thin Only,1,1,33.069
uc1,6,,1,6,2,3,uc,Understory Thin Only,1,1,46.115
uc1,28.4,,1,28.6,1,,uc,Understory Thin Only,1,0,37.42
us1,17.2,,1,19.5,2,1,us,Overstory Thin Only,1,1,60.03
us1,7.6,,1,7.3,2,2,us,Overstory Thin Only,1,1,10.845
uc1,24.8,,1,25.1,1,,uc,Understory Thin Only,1,0,76.142
uc1,10,,1,13.8,1,,uc,Understory Thin Only,1,0,63.126
uc2,88.9,,1,94.3,1,,uc,Understory Thin Only,1,0,47.403
uc2,14.7,,1,18.4,1,,uc,Understory Thin Only,1,0,27.041
uc1,20.7,,1,22.3,1,,uc,Understory Thin Only,1,0,10.657
uc1,13.8,,1,16.2,1,,uc,Understory Thin Only,1,0,14.319
uc1,124.6,,1,124.6,2,1,uc,Understory Thin Only,1,1,13.073
uc2,5.5,,1,8.6,1,,uc,Understory Thin Only,1,0,15.502
us1,30.2,,1,34.3,1,,us,Overstory Thin Only,1,0,11.945
uc1,5.7,,1,6.1,1,,uc,Understory Thin Only,1,0,55.984
uc1,30.9,,1,36.2,1,,uc,Understory Thin Only,1,0,80.189
us1,7.2,,1,7.9,2,1,us,Overstory Thin Only,1,1,12.973
uc2,10.9,,1,11,1,,uc,Understory Thin Only,1,0,3.466
us1,26.4,,1,29.7,1,,us,Overstory Thin Only,1,0,41.562
uc2,11.8,,1,13.1,2,1,uc,Understory Thin Only,1,1,33.577
uc1,87.4,,1,85.7,2,3,uc,Understory Thin Only,1,1,44.93
us1,15.6,,1,15.9,2,2,us,Overstory Thin Only,1,1,56.854
uc1,17.8,,1,18.5,1,,uc,Understory Thin Only,1,0,24.104
uc2,16.7,,1,18.5,1,,uc,Understory Thin Only,1,0,2.6
uc2,14.7,,1,16,1,,uc,Understory Thin Only,1,0,6.124
uc2,9.7,,1,18.9,1,,uc,Understory Thin Only,1,0,7.389
uc1,19.5,,1,20,1,,uc,Understory Thin Only,1,0,111.727
uc2,28.6,,1,36.7,1,,uc,Understory Thin Only,1,0,92.633
uc2,9.1,,1,9.1,1,,uc,Understory Thin Only,1,0,3.99
uc1,11.6,,1,11.6,1,,uc,Understory Thin Only,1,0,170.532
uc2,12.8,,1,13.7,1,,uc,Understory Thin Only,1,0,0.926
us1,20,,1,24.3,1,,us,Overstory Thin Only,1,0,63.496
us1,27.1,,1,31.9,1,,us,Overstory Thin Only,1,0,91.186
us1,25.2,,1,32.4,1,,us,Overstory Thin Only,1,0,17.578
uc1,88.1,,1,87.3,1,,uc,Understory Thin Only,1,0,43.33
uc1,19,,1,22.8,1,,uc,Understory Thin Only,1,0,81.288
us1,18.1,,1,19.3,2,2,us,Overstory Thin Only,1,1,111.295
uc2,113.9,,1,112.2,2,2,uc,Understory Thin Only,1,1,52.234
us1,29.9,,1,33.2,2,2,us,Overstory Thin Only,1,1,27.26
uc1,19.1,,1,21.6,1,,uc,Understory Thin Only,1,0,69.267
uc1,34.7,,1,35.7,1,,uc,Understory Thin Only,1,0,44.176
uc2,27,,1,28.9,1,,uc,Understory Thin Only,1,0,27.267
us1,46.2,,1,52.9,1,,us,Overstory Thin Only,1,0,106.292
uc2,23.2,,1,26.6,1,,uc,Understory Thin Only,1,0,80.331
uc1,78.2,,1,78.5,1,,uc,Understory Thin Only,1,0,24.357
us1,19.3,,1,22.1,1,,us,Overstory Thin Only,1,0,41.174
uc2,6.7,,1,7,2,1,uc,Understory Thin Only,1,1,8.026
uc2,5.9,,1,6,1,,uc,Understory Thin Only,1,0,15.047
